Country,term,estimate,std.error,statistic,p.value
Bermuda,slope,-0.039739308153242656,0.03468772887862258,-1.1456301533114575,0.2661735573805977
Bhutan,(Intercept),-25.51834330516414,8.657689335962273,-2.94747735971146,0.008267761829664592
Bhutan,slope,0.013036037770129686,0.0043288248275794765,3.011449594142845,0.007177369193294814
Bolivia,(Intercept),-58.03795424243824,8.983237723952774,-6.46069446516891,3.4231716813910423e-6
Bolivia,slope,0.029650295519481014,0.004491598275531468,6.601279477954347,2.564644209553992e-6
Bosnia and Herzegovina,(Intercept),-888.1655964990703,74.41813460561703,-11.934800585985558,1.0936430963004187e-9
Bosnia and Herzegovina,slope,0.446409226663151,0.03719033274264754,12.0033673737809,1.0019215730714322e-9
Botswana,(Intercept),-64.76390589471426,15.299589427243701,-4.2330486188989065,4.50078340791108e-4
Botswana,slope,0.03350301402857141,0.007649759652303791,4.379616556774001,3.223224095023124e-4
Brazil,(Intercept),-63.790035751798136,5.919597047823772,-10.776077364125543,5.152504600347422e-10
Brazil,slope,0.032781006267786905,0.0029583031098657933,11.081016735054593,3.1185585871143977e-10
British Virgin Islands,(Intercept),-218.1878200589711,27.773191339966385,-7.856058649802799,2.192400321975631e-7
British Virgin Islands,slope,0.11083219450519982,0.01388653202352394,7.981272380854259,1.7352925923779548e-7
Brunei,(Intercept),63.219027157542435,307.7260768776392,0.2054392913301272,0.8394139836992305
Brunei,slope,-0.02180133654543788,0.15386233323807497,-0.14169378616990122,0.8888135114505212
Bulgaria,(Intercept),99.78089608944124,43.397051455756994,2.299255196892056,0.0318519169741785
Bulgaria,slope,-0.046668796838931575,0.021687562724859603,-2.1518691349045396,0.04319536938939635
Burkina Faso,(Intercept),-4.6515926838703185,0.4949347020068379,-9.398396727910287,1.416189437030291e-8
Burkina Faso,slope,0.0023653567649351585,2.474662167858579e-4,9.558301717530977,1.084115374937247e-8
Burundi,(Intercept),3.978358260160337,0.46150480543194194,8.620404843752,5.4315195009901914e-8
Burundi,slope,-0.0019686034961039775,2.3075134510806285e-4,-8.531276362363407,6.366410993299123e-8
Cambodia,(Intercept),-25.33270100936884,1.518399356295278,-16.683819644904062,8.354189952212051e-13
Cambodia,slope,0.012747278077922513,7.591961985063699e-4,16.790492501149632,7.455823315026338e-13
Cameroon,(Intercept),-8.856697690346225,4.636443721159531,-1.910235133433529,0.07131520629447598
Cameroon,slope,0.004552701850649303,0.002318211235469285,1.963885680904174,0.06434534359838504
Canada,(Intercept),83.93618325344067,55.87547375660781,1.5022008335726087,0.14793407005519552
Canada,slope,-0.033785493083004915,0.0279236215647762,-1.2099251884154982,0.2397517604907583
Cape Verde,(Intercept),-49.31479191804943,2.2483364361132234,-21.93390238486799,5.91017655743843e-15
Cape Verde,slope,0.024884667842858043,0.0011241630656543683,22.13617276989334,4.9954155571138295e-015
Cayman Islands,(Intercept),49.21374157538113,48.77039570841928,1.009090470981873,0.32561028976986217
Cayman Islands,slope,-0.01923742423766675,0.024385086089487855,-0.7889012229470781,0.4399033629971285
Chad,(Intercept),-3.590841525104107,0.50929385915796,-7.050627963669183,1.0373431218106514e-6
Chad,slope,0.001808574533766339,2.546457624552434e-4,7.1023154531551045,9.364041801686276e-7
Chile,(Intercept),-194.57432354307963,20.561116244320882,-9.463217912442976,5.045574109563604e-9
Chile,slope,0.0990396054446653,0.010275363954079964,9.638549630676621,3.6768528126997865e-9
China,(Intercept),-427.45037471745275,38.42668631010144,-11.12378963067358,2.908792704108399e-10
China,slope,0.21550184244565568,0.019203635770242485,11.221929275475658,2.481096546624997e-10
Colombia,(Intercept),24.891334179676175,9.573831618167643,2.5999344016497528,0.016718417926767894
Colombia,slope,-0.011651327324110812,0.004784497258942475,-2.4352249972207374,0.023883681957346598
Comoros,(Intercept),-1.959589985164712,1.1480115128057045,-1.7069427991845962,0.1041234930881682
Comoros,slope,0.0010607865701299751,5.740031255612222e-4,1.8480501636516495,0.08022285185217813
"Congo, Dem. Rep.",(Intercept),6.225795364995705,1.071774651431792,5.808866030446435,1.3502962867422655e-5
"Congo, Dem. Rep.",slope,-0.003085246440259757,5.358848695825389e-4,-5.75729343256734,1.5085899117168143e-5
"Congo, Rep.",(Intercept),25.807724356040275,11.099811589947716,2.3250596775365477,0.03129993844699002
"Congo, Rep.",slope,-0.012675797494805848,0.005549880358080508,-2.2839767124619463,0.03405117834547611
Costa Rica,(Intercept),-71.28355413268964,8.148858966469964,-8.74767307005796,4.337017882736193e-8
Costa Rica,slope,0.03638181699870195,0.004074410808894902,8.929344316306128,3.1565617271230736e-8
Cote d'Ivoire,(Intercept),11.890781579952774,4.339275331816502,2.7402689782708647,0.013006367935888991
Cote d'Ivoire,slope,-0.005740439928571624,0.0021696277218039807,-2.645817930367621,0.01594328282524114
Croatia,(Intercept),-196.1984544563547,25.673854244544522,-7.641955609296381,6.769490777255966e-7
Croatia,slope,0.10033612767368263,0.012830463800268057,7.8201481439499005,4.967438975825748e-7
Cuba,(Intercept),20.246746605218174,24.732243311050933,0.8186376929330734,0.4231424455779055
Cuba,slope,-0.0088510176038948,0.012366064977857536,-0.7157505333946798,0.4828498375877236
Cyprus,(Intercept),-133.58458747899414,20.011230633368132,-6.675480880033725,2.2044526451924356e-6
Cyprus,slope,0.07029698239480658,0.010005569457929141,7.025785257939331,1.0897999337282232e-6
