Name,Total,Sex,Year,Frequency
ANIYAH,6,2.0,1915.0,0
ANJA,29,2.0,1915.0,0
ANJALI,28,2.0,1915.0,0
ANMOL,62,1.0,1915.0,0
ANMOL,104,2.0,1915.0,0
ANN,1609,2.0,1915.0,6
ANN-MARIE,12,2.0,1915.0,0
ANNA,4322,2.0,1915.0,32
ANNA-MARIE,43,2.0,1915.0,0
ANNABEL,52,2.0,1915.0,0
ANNABELLA,73,2.0,1915.0,0
ANNABELLE,341,2.0,1915.0,0
ANNALISE,43,2.0,1915.0,0
ANNAMARIE,5,2.0,1915.0,0
ANNE,2532,2.0,1915.0,7
ANNE-MARIE,77,2.0,1915.0,0
ANNEKE,5,2.0,1915.0,0
ANNELIESE,5,2.0,1915.0,0
ANNELISE,5,2.0,1915.0,0
ANNETTE,875,2.0,1915.0,0
ANNIE,1888,2.0,1915.0,71
ANNIKA,532,2.0,1915.0,0
ANOOP,28,1.0,1915.0,0
ANSH,5,1.0,1915.0,0
ANSON,159,1.0,1915.0,0
ANTE,8,1.0,1915.0,0
ANTHEA,5,2.0,1915.0,0
ANTHONY,6379,1.0,1915.0,6
ANTOINE,18,1.0,1915.0,0
ANTOINETTE,6,2.0,1915.0,0
ANTON,156,1.0,1915.0,0
ANTONIA,76,2.0,1915.0,0
ANTONIETTA,21,2.0,1915.0,0
ANTONIO,799,1.0,1915.0,7
ANTONY,94,1.0,1915.0,0
ANUREET,31,2.0,1915.0,0
ANYA,214,2.0,1915.0,0
AOIFE,5,2.0,1915.0,0
APRIL,1592,2.0,1915.0,0
ARA,6,2.0,1915.0,0
ARABELLA,79,2.0,1915.0,0
ARAV,5,1.0,1915.0,0
ARAYA,16,2.0,1915.0,0
ARCHER,102,1.0,1915.0,0
ARCHIBALD,162,1.0,1915.0,8
ARCHIE,75,1.0,1915.0,0
ARDEN,6,1.0,1915.0,0
ARDEN,21,2.0,1915.0,0
ARI,94,1.0,1915.0,0
ARIA,396,2.0,1915.0,0
ARIAH,13,2.0,1915.0,0
ARIAN,10,1.0,1915.0,0
ARIANA,406,2.0,1915.0,0
ARIANNA,567,2.0,1915.0,0
ARIANNE,13,2.0,1915.0,0
ARIE,5,1.0,1915.0,0
ARIEL,22,1.0,1915.0,0
ARIEL,429,2.0,1915.0,0
ARIELLA,28,2.0,1915.0,0
ARIELLE,209,2.0,1915.0,0
ARIES,5,1.0,1915.0,0
ARINA,5,2.0,1915.0,0
ARIYA,51,2.0,1915.0,0
ARJAN,114,1.0,1915.0,0
ARJUN,578,1.0,1915.0,0
ARLEEN,50,2.0,1915.0,0
ARLEN,33,1.0,1915.0,0
ARLENE,1383,2.0,1915.0,0
ARLINE,29,2.0,1915.0,0
ARLO,79,1.0,1915.0,0
ARMAAN,592,1.0,1915.0,0
ARMAN,202,1.0,1915.0,0
ARMAND,5,1.0,1915.0,0
ARMIN,5,1.0,1915.0,0
ARNAV,38,1.0,1915.0,0
ARNE,40,1.0,1915.0,0
ARNOLD,943,1.0,1915.0,7
ARON,122,1.0,1915.0,0
ARRON,12,1.0,1915.0,0
ARSHDEEP,125,1.0,1915.0,0
ARSHPREET,5,2.0,1915.0,0
ARTHUR,4162,1.0,1915.0,109
ARTIN,10,1.0,1915.0,0
ARVIN,142,1.0,1915.0,0
ARVIND,6,1.0,1915.0,0
ARWEN,17,2.0,1915.0,0
ARYA,7,1.0,1915.0,0
ARYA,106,2.0,1915.0,0
ARYAN,217,1.0,1915.0,0
ARYANA,34,2.0,1915.0,0
ARYANNA,29,2.0,1915.0,0
ASAKO,5,2.0,1915.0,0
ASEES,5,2.0,1915.0,0
ASH,11,1.0,1915.0,0
ASHA,150,2.0,1915.0,0
ASHAAN,5,1.0,1915.0,0
ASHANTI,5,2.0,1915.0,0
ASHER,378,1.0,1915.0,0
ASHLEA,8,2.0,1915.0,0
ASHLEE,340,2.0,1915.0,0
